index,vehicle_id,p_start,p_temp,p_end,pre_routes,freq,label,regions
0,100000025,"(106.74, 10.8014)","(106.73899999999999, 10.8012)","(106.738, 10.8012)","('xa_lộ_hà_nội', 'xa_lộ_hà_nội', 'thảo_điền')",121,FALSE,"('phường_thảo_điền_quận_2', 'phường_thảo_điền_quận_2', 'phường_thảo_điền_quận_2')"
16,100000025,"(106.74, 10.8014)","(106.73899999999999, 10.8012)","(106.73100000000001, 10.7996)","('xa_lộ_hà_nội', 'xa_lộ_hà_nội', 'cầu_sài_gòn_1')",305,FALSE,"('phường_thảo_điền_quận_2', 'phường_thảo_điền_quận_2', 'phường_25_quận_bình_thạnh')"
21,100000025,"(106.74, 10.8014)","(106.73899999999999, 10.8012)","(106.721, 10.7981)","('xa_lộ_hà_nội', 'xa_lộ_hà_nội', 'điện_biên_phủ')",522,FALSE,"('phường_thảo_điền_quận_2', 'phường_thảo_điền_quận_2', 'phường_25_quận_bình_thạnh')"
40,100000025,"(106.74, 10.8014)","(106.73899999999999, 10.8012)","(106.695, 10.7912)","('xa_lộ_hà_nội', 'xa_lộ_hà_nội', 'võ_thị_sáu')",250,FALSE,"('phường_thảo_điền_quận_2', 'phường_thảo_điền_quận_2', 'phường_đa_kao_quận_1')"
50,100000025,"(106.74, 10.8014)","(106.73899999999999, 10.8012)","(106.68799999999999, 10.7858)","('xa_lộ_hà_nội', 'xa_lộ_hà_nội', 'nam_kỳ_khởi_nghĩa')",127,FALSE,"('phường_thảo_điền_quận_2', 'phường_thảo_điền_quận_2', 'phường_8_quận_3')"
59,100000025,"(106.74, 10.8014)","(106.73899999999999, 10.8012)","(106.681, 10.7926)","('xa_lộ_hà_nội', 'xa_lộ_hà_nội', 'nguyễn_văn_trỗi')",299,FALSE,"('phường_thảo_điền_quận_2', 'phường_thảo_điền_quận_2', 'phường_8_quận_phú_nhuận')"
102,100000025,"(106.74, 10.8014)","(106.738, 10.8012)","(106.736, 10.8026)","('xa_lộ_hà_nội', 'thảo_điền', 'nguyễn_duy_hiệu')",496,FALSE,"('phường_thảo_điền_quận_2', 'phường_thảo_điền_quận_2', 'phường_thảo_điền_quận_2')"
106,100000025,"(106.74, 10.8014)","(106.738, 10.8012)","(106.734, 10.8034)","('xa_lộ_hà_nội', 'thảo_điền', 'số_39')",185,FALSE,"('phường_thảo_điền_quận_2', 'phường_thảo_điền_quận_2', 'phường_thảo_điền_quận_2')"
107,100000025,"(106.74, 10.8014)","(106.738, 10.8012)","(106.73200000000001, 10.8028)","('xa_lộ_hà_nội', 'thảo_điền', 'quốc_hương')",253,FALSE,"('phường_thảo_điền_quận_2', 'phường_thảo_điền_quận_2', 'phường_thảo_điền_quận_2')"
112,100000025,"(106.74, 10.8014)","(106.738, 10.8012)","(106.73200000000001, 10.8)","('xa_lộ_hà_nội', 'thảo_điền', 'empty')",276,FALSE,"('phường_thảo_điền_quận_2', 'phường_thảo_điền_quận_2', 'phường_thảo_điền_quận_2')"
113,100000025,"(106.74, 10.8014)","(106.738, 10.8012)","(106.73100000000001, 10.7996)","('xa_lộ_hà_nội', 'thảo_điền', 'cầu_sài_gòn_1')",437,FALSE,"('phường_thảo_điền_quận_2', 'phường_thảo_điền_quận_2', 'phường_25_quận_bình_thạnh')"
118,100000025,"(106.74, 10.8014)","(106.738, 10.8012)","(106.721, 10.7981)","('xa_lộ_hà_nội', 'thảo_điền', 'điện_biên_phủ')",573,FALSE,"('phường_thảo_điền_quận_2', 'phường_thảo_điền_quận_2', 'phường_25_quận_bình_thạnh')"
